Sample_ID,Z_Score_Natural,Z_Score_Watermarked,PPL_Natural,PPL_Watermarked,Text_Watermarked
28,1.463,3.713,9.919,13.048,"ST. JOHNS COUNTY, Fla. - Commissioners in St. Johns County voted unanimously to postpone any legislative action against a localized ban of a certain amount of certain vaping-related products.

On Wednesday night, the county's board voted to postpone the county's ongoing investigation into a vaping-related product recall.

Commissioners approved a summary of the county's findings and recommendations and"
29,-2.813,0.338,7.624,10.157,"Come test your luck on the best slot machine app in the app store. Great graphics make this app so fun to play.
Test your luck on the best slot machine app in the app store. Great graphics make this app so fun to play.
Not a good idea, since it's very open ended, and I'm not very open minded about slot machines.
That's how it"
30,-0.338,2.138,10.021,12.718,"This was Reinsdorf's reply on Friday when asked whether the preseason announcement that Phil Jackson will not return as coach of the Bulls next season will be met with skepticism.

""I don't think that's how it works in the NBA,"" Jackson, the Bulls' general manager, said. ""If you want to see a coach of the Bulls, say, say, say,"
31,0.338,1.913,20.259,11.739,"(HOST) As the season for summer blockbuster movies about super heroes and rings of power approaches, commentator Willem Lange is feeling nostalgic for other classic movies about superheroes: The Avengers, the Batman, the Superman, the Batman, the Superman, the Batman, the Superman, the Batman, the Superman, the Batman, the Superman, the Batman, the Superman, the Batman, the Superman,"
32,0.788,5.063,9.826,10.05,"This is the news you’re looking for.
Carrie Fisher has seemingly confirmed to Palm Beach Illustrated magazine that she will be returning to Los Angeles in 2014.
In a recent interview, the actress, 45, said she will be playing one of the three major roles in the film, while also adding that she will be playing one of the three major roles in the film, while"
33,-0.788,2.363,7.169,10.125,"numerous aunts, uncles and cousins. She attended Shanksville Stonycreek High School and was a member of St. Paul Lutheran Church for many years.
She leaves to cherish her memory a son, James, and a daughter, Grace; two sons and a daughter-in-law, James, and Taya; two sisters and a brother, James, and T"
34,-0.338,1.913,9.081,6.812,"In the market for a low-cost networked storage solution? You may want to take a look at the Netgear ReadyNAS 104.

Netgear readyNAS is the third generation of the Netgear readyNAS server and is the third generation of the Netgear readyNAS server and is the third generation of the Netgear readyNAS server and is the third generation of the Netgear ready"
35,-0.87,-0.522,12.919,13.432,"No, Trump can’t pardon himself. The Constitution tells us so.
Correction: An earlier version of this op-ed misspelled Trump as president."
36,2.588,2.363,8.741,5.749,"MANILA, Philippines — The state-run Land Bank of the Philippines (Landbank) has extended by one more month or until Jan. 31 the deadline for its full payment of the interest of the interest of the interest of the interest of the interest of the interest of the interest of the interest of the interest of the interest of the interest of the interest of the interest of the interest of the"
37,0.113,2.813,10.619,9.45,"Jerry Springer says he is still deciding whether he will run for Ohio governor in 2018.
Speculation around Springer’s potential gubernatorial bid has risen.
On Wednesday, the radio host said he’s not considering running at this point.
“I see no reason to be thinking about running at this point. I’m one of the best journalists I know and I"
38,-1.238,1.913,7.6,4.818,"It’s a continuation of a trend they have seen over the last several years.
“It’s been almost three years now we’ve gone through a little bit of a lull, and I think that’s a good thing, since we’ve gone through a little bit of a lull, since we’ve gone through a little bit of"
39,0.113,3.938,16.778,18.268,"This mildly racy spot introduces us to the character of the brown M&M, who only looks like she’s not wearing her shell, since it looks like she is wearing her shell.

Also this scene is where Claire plays her dad’s younger sister, while he’s trying to kill her dad.

Also this scene is where Claire plays her dad"
40,0.788,1.238,3.526,4.137,"Originally Published: September 24, 2018 8 p.m.
Soledad O’Brien, 10 to 11:30 a.m.
Soledad O’Brien, 9 to 11:40 a.m.
Soledad O’Brien, 9 to 11:40 a.m.
Soledad O’Brien, 9 to 11:"
41,0.788,2.138,9.894,6.995,"Located near all that the Catskills has to offer! Close to Hunter Mountain, Wyndham, state land, antiquing and many other locales that draw visitors.

Located near all that the Catskills has to offer! Close to Hunter Mountain, Wyndham, state land, antiquing and many other locales that draw visitors.

Located near all that the"
42,1.463,4.388,6.579,8.287,"Attendees visit the Vodafone Group pavilion at the Mobile World Congress in Barcelona, Spain, March 4, 2015.
Vodafone is the third largest mobile operator in the world. Its revenue reaches about $7 billion annually, while its net income is up 28 percent from an annualized basis in 2014.
(Reporting by Alessandra Prentice Editing by Hugh Lawson"
43,-0.338,3.488,7.315,7.636,"NORTH BRUNSWICK, N.J. — Body cameras captured the moment a North Brunswick police officer climbed up a burning building to rescue a woman who was stuck in the burning vehicle.

Police say the woman, identified as Michelle, was stuck in the burning vehicle when officers arrived to help.

Police say when officers arrived to help, the woman had been trapped in the"
44,-0.338,3.713,13.244,11.671,"The Congress of South African Trade Unions has noted the latest cabinet reshuffle by President Jacob Zuma. We can confirm that the federation did receive a formal notification from the Department of Trade and Industry (DTIA) that they will be replaced.

In a statement issued by Union Trade Unions President Pieter Kruger on Thursday, the DTIA, the Department of Trade and Industry ("
45,-0.563,3.038,5.668,12.297,"The NHS is still running Windows XP en masse, two and a half years after Microsoft stopped delivering bug fixes and security updates.
Nearly all of the major new Microsoft Windows 10 operating systems are still based on XP.
Windows XP is the third most-used operating system at the moment, behind the three major new operating systems.
Windows XP is the third most-used operating system at the"
46,-1.238,3.938,14.394,13.129,"After much anticipation, Melania Trump has finally given the world a glimpse of her platform.
Like those before her, Trump is keen to make a splash with her newest campaign.
On Sunday, the 37-year-old posted a video of herself wearing a flowing white coat and a flowing tie.
In the caption, the 37-year-old wrote, ""So this year we're"
47,0.338,4.613,8.086,9.593,"OKLAHOMA CITY - Kevin Durant scored 25 points, James Harden added a spark with 23 points off the bench while returning from an injury and Toronto beat Oklahoma City 108-98 on Thursday night.
Durant, the NBA's leading scorer, started in the third quarter against Denver and scored eight of his team-record 11 points in the third quarter.
Durant, the third"
48,-0.113,4.388,32.111,27.995,"We build our students up only to encourage them to flee. Why?
Combining advertising campaigns handled by pros along with play on the editorial side of the coin, the result is the same as those that preceded it: a school's student reputation is threatened and its reputation is threatened with extinction.
That's how it works in the US.
That's how it works in the UK."
49,4.388,5.738,5.311,10.498,"1 Then the people of the land took Jehoahaz the son of Josiah, and made him king in his father's stead in Jerusalem.
2 They made him king.
3 Then they put Jehoahaz to death for a crime which was not very serious.
4 They made him king.
5 He was not very serious.
6 Then they put Jeho"
50,0.338,1.688,6.689,6.565,"Federal Reserve Bank of Minneapolis President Narayana Kocherlakota will step down when his current term ends in February 2016.
The Federal Reserve Bank of Minneapolis said in a news release on Thursday it will announce the resignation of Narayana Kocherlakota at its meeting on Thursday, March 3.
Kocherlakota, the third Fed governor, is"
51,-0.113,4.388,10.85,9.107,"This bicycle sprocket hub and sprockets from the Wright Bicycle Co. are on display at the National Museum of the United States Air Force. Designed for cyclists, the sprocket hub and sprocket are made from an aluminum frame and contain a high quality steel frame and a high quality steel sprocket. Designed for cyclists, the sprocket hub and sprocket are made from an aluminum frame and"
52,-1.913,1.688,5.287,9.283,"Roger Federer of Switzerland and Bill Gates shake hands at the Match For Africa 4 exhibition match at KeyArena on April 29, 2017 in Seattle, Washington. (AP Photo/Jorge Soler)
Roger Federer will be playing in the third time of his career at the 2017 Match For Africa 4 tournament.
Roger Federer will be playing in the third time of his career at"
53,-1.238,1.463,13.785,9.453,"Elvis Costello played a two-hour, 25-song show that touched on phases throughout his career, both deep cuts and hits, as he continued to grow in the studio.
Elvis Costello's first album, The Favourite (2001)
Elvis Costello's first album, The Favourite (2001)
Elvis Costello's first album, The"
54,-0.113,5.288,6.265,7.3,"BAGHDAD, Iraq -- Fighting in the Shiite stronghold of Sadr City killed 23 Iraqis yesterday, hospital officials said, and the U.N. mission condemned the ""violent"" attack.

In a statement issued by the U.N. mission in Iraq, the U.N. mission condemned the ""violent"" attack, while also calling on the terrorist group to ""take responsibility"
55,1.132,5.288,17.604,12.85,"With its eye on Western next-gen gamers, the Japanese publisher pays $15 million for Secret Level.
Sega Holdings of USA announced on Thursday a deal to sell the third-gen console to Japanese publisher Nintendo for a reported $15 million.
Secret Level is the third-gen console to be sold by Japanese publisher Nintendo.
Secret Level is the third-gen console to be sold"
56,-0.113,3.938,12.423,15.763,"Tulsa race riot survivor: ""Learn how to forgive, but never forget""
SAN FRANCISCO, California (CNN) -- In what some think could be an effort to soften the blow to former Lt. Gov. Dan Patrick, the Tulsa Race riot survivor says she is learning to live with the trauma she experienced after her own rape.
""I see my past everywhere because"
57,0.113,3.038,9.208,12.23,"Two recently published reports shed damning light on the high cost of low wages in the fast food industry – an industry dominated by the restaurant giant McDonald’s.

In a report published on Thursday, the Global Times listed two major companies, both of which have seen their costs rise to as high as $7,100 per hour, while Burger King’s has risen to as high"
58,-0.788,3.263,16.242,14.202,"When Cait and I found out how easy it is to make ravioli–and with such completely impressive and delicious results!–we just had to share.

We were given lots of time to make ravioli: pasta, salami, and Italian salad. We didn’t have to go far, since we didn’t have to go far at all.
"
59,-0.113,4.388,12.169,10.528,"Every morning on The Style Blog, we celebrate the best footwear weve come across. Now, for your benefit, its all in one place.

We invite you to join us for a weekend of shopping, dining, and eating! Then, your time will be limited to our website.

We invite you to join us for a weekend of shopping, dining, and eating! Then"
60,-1.463,2.588,15.801,12.906,"It may not have been enough to bring out the skis, but Wood River Valley residents woke up with a shock Wednesday to see a snowstorm that hadn't hit.

City officials declared a weekend snowfall a weekend snowfall, and residents were told to stay indoors if they didn't want to see snow.

City officials declared a weekend snowfall a weekend snowfall a weekend"
61,-0.338,4.163,12.441,14.914,"LOS ANGELES – A lawsuit filed Wednesday against ABC (search) and ""American Idol"" judge Simon Cowell (search) alleges they conspired with him to kill his daughter and to kill his wife, Grace and their four kids.

Judge Robert J. Rettiger III in Los Angeles Superior Court in the county's Los Angeles Superior Court referred the lawsuit to a judge who has previously"
62,0.788,3.263,15.481,8.292,"Are stoners now a target advertising demographic for fast food companies?
Ever since Harold and Kumar went to White Castle, fast-food companies have been targeted by stoners.
In November last year, the Daily Star revealed that some of the biggest fast-food companies had been targeted by stoners.
In November last year, the Daily Star revealed that some of the biggest"
63,-1.013,2.138,13.434,12.26,"Seren Rayne Frank Sutherland, a six lb., eight oz., girl, was born Saturday, Dec. 3, 2016, at Yavapai, Mo.
She passed away on Thursday, Dec. 7, 2016, at Yavapai, Mo.
She was the third baby to be born in the area.
Her mother was born in New York on Dec."
64,0.113,4.838,9.873,11.029,"Due to Hurricane Irene, parts of New Jersey were declared a federal disaster area this week. Federal funding is available to people in Bergen, Westchester, and New York counties, and to help with local planning and response.
Hurricane Irene was the third time in five years a hurricane was blamed for a New Jersey disaster, the third time in five years a hurricane was blamed for"
65,-1.463,1.463,18.013,16.206,"Adventist HealthCare seeks to hire a Med Surg Registered Nurse who will embrace our mission to extend God's care through the ministry of physical education and spiritual and spiritual healing.

We invite you to join the Adventist HealthCare ministry to join the ministry to transform the health care system at the Adventist HealthCare campus and to transform the health care system at the Adventist HealthCare"
66,0.113,3.038,12.938,10.707,"As many British visitors to France have learnt to their dismay, if you ask a local, “Parlez-vous anglais?” they’ll tell you they’re happy to see you in their country.

But not very many people really know what that means.

In fact one of the things that some French tourists do when they’re"
67,-0.113,2.138,20.591,17.461,"Check out the Charleston Parks Conservancy's newest glow-up project at their inaugural Hampton Park culinary event, Shucked + Sauced, Sat. June 19-27, 9 a.m.-4:40 p.m.

Want to see a little more?

Want to see a little more?

Want to see a little more?

Want to see a"
68,-0.338,-0.338,14.813,5.188,"For professors, publishing in elite journals is an unavoidable part of university life. The grueling process of subjecting work to the up-or-down-or-down-or-down-or-down-or-down-or-down-or-down-or-down-or-down-or-down-or-down-or-down-or-down-"
69,-1.463,3.263,10.824,14.613,"Adweek: So what’s a digital-media tyro like you doing at a fusty old-media company like CBS?

Matt Healy

I see a lot of digital projects, and I think that’s a good thing. I think digital projects are an interesting thing. I think digital projects are an interesting thing. I think digital projects are an"
70,-0.788,2.813,17.831,20.043,"After rebranding from beverages to a blockchain company, Long Blockchain says it is refocusing yet again and launching operations related to gift cards, as reported by Business Wire.

Long Blockchain, the third-largest cryptocurrency exchange in the world, started in 2014. Its focus has been to grow its business and to grow its customer base.

In November last year, Long Blockchain started accepting"
71,-1.463,3.713,11.036,14.625,"A live events and bespoke creative technical solutions company based in Loughborough is seeking a technical project manager to join their growing production team.

Having a high quality technical expertise in the area of digital projects, your project will be an integral extension of our current production team, creating an exciting new dimension to our current production activities.

Having a high quality technical expertise in the area of"
72,0.338,3.263,27.706,23.864,"Noel Gallo, an organ builder who designed a new organ at Xewkija parish church and Paolo Oreni, an international organ builder, say they are still looking for a replacement for a damaged organ in the parish church in the capital Tehran.

Oreni, the organ builder, said in a phone interview that they are still looking for a replacement for a damaged"
73,1.99,3.606,6.502,21.183,"The latest report from Violence Policy Center.
I find it ironic and sad that the very day an annual report on violence against women was released, the organization called for a boycott.
That's how they define ""violent"" - literally ""violent against women""."
74,0.113,3.938,15.896,17.901,"Meet Google's Robot Army. It's Growing.
Google can't stop buying robotics companies. In the past two months, eight of the 12 robotics companies have been acquired, and Google announced a deal to sell robots.
That's how Google, the world's largest maker of robotics, started exploring buying tech companies.
In November, the company announced a deal to sell robots.
That"
75,0.338,1.151,16.07,43.871,"Thorpe of the New York Trucking and Delivery Association says the decision to raise penalties won’t solve the parking crisis.
For more information on the crash, click here."
76,-1.913,-0.338,20.072,6.892,"Michael Schumacher - a seven-time Formula One world champion is ""not bedridden or living on tubes"", it has been reported as new report.

Michael Schumacher - a seven-time Formula One world champion is ""not bedridden or living on tubes"", it has been reported as new report.

Michael Schumacher: The F1 legend has revealed that he"
77,-0.338,3.488,11.316,10.588,"A District Court decision overturning major provisions of three Executive Orders has been appealed. Here is a summary of the arguments made by Justice Department.

Judge Robert J. Ritter: The Court has again ruled that these Executive Orders were unconstitutional.

Judge Ritter: The Court has again ruled that these Executive Orders were unconstitutional.

Judge Ritter: The Court has again ruled that"
78,0.113,3.038,12.444,12.244,"On April 4, 1975, Bill Gates and Paul Allen founded Microsoft. The small firm used to develop and sell BASIC interpreters. Little did they know that they would soon be going mainstream into a wide array of other areas of computing.

In November 1974, the Bill and Melinda Gates Foundation announced a fund to help with the cost of the Bill and Melinda Gates Foundation’"
79,0.788,4.163,15.364,7.222,"The democratization of data is a real phenomenon, but building a sustainable data democracy means truly giving power to the people. The alternative is just a bunch of people with no sense of urgency and no sense of urgency who have no sense of urgency and no sense of urgency and no sense of urgency and no sense of urgency and no sense of urgency and no sense of urgency and no sense of urgency and"
80,-1.238,3.938,8.291,12.066,"John Beilein and the Michigan Wolverines are one win away from a national title. On Saturday the Wolverines knocked off Loyola-Chicago by an 85-58 score in the third quarter. Beilein's men were led by senior forward James Brainerd, while Brainerd hit 21 points and junior guard Malik Davis contributed 20 points and 10 rebounds.
Michigan (26"
81,0.226,3.038,17.607,14.435,"The Council of PR Firms yesterday urged PR firms to ""pledge"" to Wikipedia that they will only submit materials to the hidden ""Talk"" section of the site for its full content.

In a letter to PR firms, the Council of PR Firms also requested that they put the ""talk"" section of the site in the ""talk"" section of the site for its full content"
82,-1.463,3.488,15.576,18.443,"Two Democratic state representatives from South Florida said Thursday that they've gathered with 33 colleagues to file paperwork with the Secretary of State to poll lawmakers for their districts for 2020.

Sen. David Quimby, R-Miami Beach, and House Speaker Paul Johnson, R-Miami Beach, say they'll need to petition to join other state Democratic members in the effort to join other Democrats in the"
83,1.238,3.713,14.719,11.007,"He and a neighbor managed to lure the horse toward them with a handful of grass, Sickinger said, and they even petted the horse for a little while.

“It was a little weird, since we didn’t have a fence, since we didn’t have a fence, since we didn’t have a fence, since we didn’t"
84,1.238,2.138,15.75,10.339,"Hospitals are seeking ways to reduce readmissions, due to new penalties from Medicare.
Demand for qualified professionals in the health care industry is set to grow again after the coronavirus pandemic battered the health care system at the start of the coronavirus pandemic.
That's because hospitals are seeking ways to reduce readmissions, due to new penalties from Medicare that limit doctors'"
85,-0.563,3.488,14.882,17.424,"Wolf, 33, joined the Africa Mercy crew in March, taking a short leave from her job as a registered nurse with the UC Davis Medical Center.

“It was a little weird to join the UC Davis Medical Center, since we were just graduating, and I was not very open about my past, so I was not very open about my past, so I was not very open"
86,-0.113,3.488,11.257,6.712,"OK!'s NYC Fashion Week Blog: Gwen Stefani's L.A.M.B.
Can’t make it to NYC? Click here
Want to join the conversation? Click here
Want to join the conversation? Click here
Want to join the conversation? Click here
Want to join the conversation? Click here
Want to join the conversation? Click here
"
87,-1.913,3.488,13.592,10.242,"A Chicago judge on Thursday dismissed a patent case between Apple and Motorola because, he said, neither side could adequately ""establish a right to relief.""
Judge Robert J. Ritter declined to hear an Apple patent case against Motorola in the Cook County Circuit Court in the Cook County District Attorney's office. Ritter declined to hear an Apple patent case against Motorola in the Cook County District Attorney's office"
88,0.788,3.488,12.618,11.251,"FILE - Guinea security forces, center, face people rioting and burning rubbish and other goods in the streets of Conakry, April 13, 2018.

(Reuters) - Guinea security forces have arrested at least six people, the Interior Ministry said on Thursday, the third time in five weeks that they have arrested at least six people, the third time in five weeks that they have arrested"
89,0.338,3.488,12.546,6.953,"Ford is building cars that ""talk"" with traffic lights, road signs and pedestrians.
At CES 2019 in Las Vegas on Monday, the automaker unveiled the Ford Focus.
That's how Ford is making the Focus.
Ford is building cars that ""talk"" with traffic lights, road signs and pedestrians.
That's how Ford is making the Focus.
Ford is making the Focus"
90,-0.113,4.163,7.975,12.953,"Sunday's college basketball roundup: No. 8 N.C. State women stay unbeaten with rout at U.Va.
Do conference hoops tournaments mean more?
Not at all.
Not at least not in the N.C. State women's basketball tournament.
That's how it looks going into a weekend at the ACC Championship in New York.
That's how it looks going"
91,0.563,3.263,20.866,17.736,"Things get a bit messy in a new brand campaign from Chobani. Centered on the tag ""Love This Life,"" its anthem film opens with the words. ""So this isn't real, and I'm not calling it love this life,"" says Chobani. ""So this isn't real, and I'm not calling it love this life.""
Chobani's brand ambassador"
92,-1.463,2.588,14.193,12.563,"“All the gold names have been pretty much getting hammered both on the credit side and the equity side for quite some time with gold prices coming down, and I think that’s a good thing for investors.”
Gold’s recent fall has been fueled in part by rising oil prices, while some investors were worried about its geopolitical risks.
“It’"
93,0.679,2.588,10.051,10.845,"Trump's new immigration ad was panned as racist. Turns out it was also based on a falsehood. - Hartford Courant Trump's new immigration ad was panned as racist. Turns out it was also based on a falsehood.

(AP) — President Donald Trump has again ripped into a Democrat in New Hampshire after he tweeted a racial slur about his daughter and accused her of ""killing"
94,-0.563,3.938,9.144,12.475,"Customers line up to purchase lottery tickets, Monday, Oct. 22, 2018, at La Preferida Superdiscount store in Hialeah. (AP Photo/Jorge Martinez)
HALIFAX — Hundreds of people lined up at a Florida lottery site Monday to purchase lottery tickets, the third time in five weeks that some people have won a ticket.
Some were given"
95,-0.563,3.488,16.242,9.766,"• Engage with other SRA functions to support the evidence gathering and credible deterrence approach of the SRA.
The role of a Forensic Investigator in the SRA is to examine the character of the accused persons, the character of the accused persons, the character of the accused persons, the character of the accused persons, the character of the accused persons, the character of the accused persons, the"
96,1.463,4.388,17.285,17.606,"There're no feet like happy feet and these Rechargeable Heated Slippers will ensure your feet are always happy. Just slip them on your foot and they'll rock right out of your foot.

Rechargeable Heated Slippers are made from an elastic silicone that releases water quickly and is suitable for up to 4 feet of water in the palm of your hand.

Re"
97,0.563,3.938,12.102,10.705,"MidMichigan Health plans to restructure and re-align its work force in the coming months, and the changes could mean laying off as many as 100 people, the health department reported Wednesday.
In a news release, the health department reported that some mid-Michigan residents have been laid off from some mid-Michigan work since March.
In a news release, the health department reported that some"
98,0.563,3.038,24.543,14.808,"When Katherine Gotovsky sees a problem, her response is immediate. The gears in her 17-year-old mind start working away, determined to find out what’s really going on.

“It was the first thing out of the blue, and I was like, ‘I see a little problem,'” she told the outlet.

“It was"
99,0.113,5.288,14.39,8.956,"Tennessee farmers are cashing in on the local food movement.
The federal government never measured just how much Tennessee farmers sold directly to customers at pharmacies, restaurants, and other outlets.
That's how it works in the United States.
That's how it works in the United States.
That's how it works in the United States.
That's how it works in the United"
100,-0.563,1.688,13.106,10.899,"A rocket attack by ISIS militants in northern Syria caused symptoms of “chemical gas” in 22 Syrian rebels, state media cited the Turkish armed group’s foreign office as saying.

Turkish state television quoted the Turkish Defence Ministry as saying the three Syrian rebels who were killed in the rocket attack were killed in the area.

Turkish state television quoted the Turkish Defence Ministry as saying"
101,0.113,1.463,17.121,11.23,"Ozier Muhammad/The New York TimesReynaldo Rodriguez of the Care Coordination program counseled a patient with H.I.V. pneumonia, the disease that typically causes pneumonia, to be assessed for a blood test.

Ozier Muhammad/The New York Times

Ozier Muhammad/The New York Times

Ozier Muhammad/The New York"
